date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:55:39	12903/12903	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Aug%202021%2007:57:21%20GMT	https://getmyfile.co/7b015d7	C:/My%20Web%20Sites/djou/getmyfile.co/7b015d7.html	(from )
03:55:40	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Aug%202021%2007:57:22%20GMT	https://getmyfile.co/robots.txt		(from )
03:55:40	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/My%20Web%20Sites/djou/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://getmyfile.co/7b015d7)
03:55:41	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/djou/www.google-analytics.com/analytics.js	(from https://getmyfile.co/7b015d7)
03:55:41	4614/4614	---M--	200	added ('OK')	text/css	etag:%22b51416af9e8adbe3d16f5f2526aba221%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/owl.carousel.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/owl.carousel.css	(from https://getmyfile.co/7b015d7)
03:55:41	1729/1729	---M--	200	added ('OK')	text/css	etag:%2213b1b6672b8cfb0d9ae7f899f1c42875%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/slick.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/slick.css	(from https://getmyfile.co/7b015d7)
03:55:41	29063/29063	---M--	200	added ('OK')	text/css	etag:%224083f5d376eb849a458cc790b53ba080%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/font-awesome-4.6.3/css/font-awesome.min.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/font-awesome-4.6.3/css/font-awesome.min.css	(from https://getmyfile.co/7b015d7)
03:55:42	117305/117305	---M--	200	added ('OK')	text/css	etag:%22eedf9ee80c2faa4e1b9ab9017cdfcb88%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/bootstrap.min.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/bootstrap.min.css	(from https://getmyfile.co/7b015d7)
03:55:42	71793/71793	---M--	200	added ('OK')	text/css	etag:%22d212a7b8f7e91b7dbd0a69c2819ff087%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/animate.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/animate.css	(from https://getmyfile.co/7b015d7)
03:55:42	67696/67696	---M--	200	added ('OK')	text/css	etag:%22947e8bbbc642b1174587443b5fa1799b%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/style.css	C:/My%20Web%20Sites/djou/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/blue_file/style.css	(from https://getmyfile.co/7b015d7)
